Year,Team,Player,PA,AVG,OBP,SLG,wRC+,K%,BB%,BABIP,SB RAA,SB,SB%,RAVG,ROBP,RSLG,LAVG,LOBP,LSLG,UAVG,UOBP,USLG
2025,키움,이형종,14,0.214,0.214,0.214,-3.3,21.4,0.0,0.273,0.00,0,,0.300,0.300,0.300,0.000,0.000,0.000,,,
2025,키움,주승우,0,,,,,,,,,0,,,,,,,,,,
2025,키움,박윤성,0,,,,,,,,,0,,,,,,,,,,
2025,키움,박주성,0,,,,,,,,,0,,,,,,,,,,
2025,키움,김동헌,34,0.233,0.324,0.267,74.6,23.5,8.8,0.318,0.01,0,,0.211,0.318,0.263,0.273,0.333,0.273,1.000,1.000,1.000
2025,키움,권혁빈,1,0.000,0.000,0.000,-132.3,0.0,0.0,0.000,,0,,0.000,0.000,0.000,,,,,,
2025,키움,서유신,1,0.000,0.000,0.000,-168.1,100.0,0.0,,,0,,0.000,0.000,0.000,,,,,,
2025,키움,임지열,33,0.258,0.303,0.290,64.4,42.4,6.1,0.471,0.32,2,100.0,0.250,0.286,0.250,0.273,0.333,0.364,0.250,0.250,0.250
2025,키움,송지후,3,0.333,0.333,0.333,88.0,0.0,0.0,0.333,0.00,0,,0.000,0.000,0.000,0.500,0.500,0.500,,,
2025,키움,변상권,14,0.231,0.214,0.308,19.8,7.1,0.0,0.231,0.00,0,,0.182,0.167,0.273,0.500,0.500,0.500,0.000,0.000,0.000
2025,키움,전태현,82,0.250,0.325,0.292,76.5,30.5,9.8,0.383,0.17,1,100.0,0.222,0.288,0.278,0.333,0.429,0.333,0.286,0.375,0.571
2025,키움,양현종,5,0.000,0.200,0.000,-34.4,40.0,20.0,0.000,0.00,0,,,,,0.000,0.200,0.000,,,
2025,키움,이재상,2,0.500,0.500,0.500,170.0,50.0,0.0,1.000,0.00,0,,1.000,1.000,1.000,0.000,0.000,0.000,,,
2025,키움,김웅빈,19,0.143,0.368,0.143,78.5,5.3,26.3,0.154,0.00,0,,0.222,0.462,0.222,0.000,0.167,0.000,0.333,0.333,0.333
2025,키움,이승원,2,0.000,0.000,0.000,-159.7,0.0,0.0,0.000,,0,,,,,0.000,0.000,0.000,,,
